"TableName","Key"
"ActivityTrackerMessage","at_account_validation"
"ActivityTrackerMessage","at_acknowledgement_app_fee"
"ActivityTrackerMessage","at_acknowledgement_app_fee_approved"
"ActivityTrackerMessage","at_acknowledgement_app_fee_email"
"ActivityTrackerMessage","at_acknowledgement_app_fee_rejected"
"ActivityTrackerMessage","at_acknowledgement_documents"
"ActivityTrackerMessage","at_acknowledgement_documents_approved"
"ActivityTrackerMessage","at_acknowledgement_documents_email"
"ActivityTrackerMessage","at_acknowledgement_documents_rejected"
"ActivityTrackerMessage","at_admin_lease_capture"
"ActivityTrackerMessage","at_agreement_renewal_accepted_by_leasee"
"ActivityTrackerMessage","at_agreement_renewal_approved"
"ActivityTrackerMessage","at_agreement_renewal_reject"
"ActivityTrackerMessage","at_agreement_renewal_rejected_by_leasee"
"ActivityTrackerMessage","at_all_department_approve"
"ActivityTrackerMessage","at_applicant_accept_unit"
"ActivityTrackerMessage","at_applicant_reject_twice_unit"
"ActivityTrackerMessage","at_applicant_reject_unit"
"ActivityTrackerMessage","at_applicant_upload"
"ActivityTrackerMessage","at_applicationfee_approve"
"ActivityTrackerMessage","at_applicationfee_reject"
"ActivityTrackerMessage","at_approve_agreement_of_lease"
"ActivityTrackerMessage","at_assessment_figures_external_payment"
"ActivityTrackerMessage","at_assessment_figures_pop"
"ActivityTrackerMessage","at_assessment_figures_pop_approved"
"ActivityTrackerMessage","at_assessment_figures_pop_rejected"
"ActivityTrackerMessage","at_assessment_figures_siyakhokha_payment_portal"
"ActivityTrackerMessage","at_awaiting_refund_response"
"ActivityTrackerMessage","at_capture_eviction"
"ActivityTrackerMessage","at_capture_new_rcs_app"
"ActivityTrackerMessage","at_capture_new_refund_app"
"ActivityTrackerMessage","at_capture_of_application"
"ActivityTrackerMessage","at_change_application_status"
"ActivityTrackerMessage","at_change_lease_application_status"
"ActivityTrackerMessage","at_committee_approve_terminate"
"ActivityTrackerMessage","at_debit_order_approve"
"ActivityTrackerMessage","at_debit_order_generate"
"ActivityTrackerMessage","at_debit_order_rejected"
"ActivityTrackerMessage","at_department_approve"
"ActivityTrackerMessage","at_department_issues_resolved"
"ActivityTrackerMessage","at_department_reject"
"ActivityTrackerMessage","at_departmental_inputs"
"ActivityTrackerMessage","at_deposite_approve"
"ActivityTrackerMessage","at_deposite_reject"
"ActivityTrackerMessage","at_dfc_approve_application"
